Milwaukee Bucks:1903
Chicago Bulls:1904
Detroit Pistons:1904
Indiana Pacers:1900
Cleveland Cavaliers:1918
Atlanta Hawks:1899
Miami Heat:1890
Washington Wizards:1901
Charlotte Hornets:1902
Orlando Magic:1904
Philadelphia 76ers:1898
Brooklyn Nets:1879
New York Knicks:1875
Boston Celtics:1876
Toronto Raptors:1875
Utah Jazz:1901
Denver Nuggets:1910
Portland Trail Blazers:1911
Minnesota Timberwolves:1889
Oklahoma City Thunder:1889
Phoenix Suns:1887
Los Angeles Clippers:1987
Los Angeles Lakers:1887
Golden State Warriors:1873
Sacramento Kings:1887
Dallas Mavericks:1899
Memphis Grizzlies:1887
San Antonio Spurs:1885
New Orleans Pelicans:1883
Houston Rockets:1881
